Run,altitude,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Id,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,SRA Study,strain
SRR11364336,not collected,AMPLICON,602,29559404,PRJNA613763,SAMN14419188,Metagenome or environmental,17409112,HENAN AGRICULTURAL UNIVERSITY,2019,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX7965784,China,Asia,"China:Xuchang\,Henan Province",10,Illumina MiSeq,Wheat rhizosphere soil,missing,sample-10,SINGLE,PCR,GENOMIC,soil metagenome,ILLUMINA,2020-03-31T00:00:00Z,2020-03-22T02:53:00Z,1,sample10,N180-10,SRP253595,not collected
SRR11364337,not collected,AMPLICON,602,36089298,PRJNA613763,SAMN14419187,Metagenome or environmental,21355996,HENAN AGRICULTURAL UNIVERSITY,2019,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX7965783,China,Asia,"China:Xuchang\,Henan Province",9,Illumina MiSeq,Wheat rhizosphere soil,missing,sample-9,SINGLE,PCR,GENOMIC,soil metagenome,ILLUMINA,2020-03-31T00:00:00Z,2020-03-22T02:53:00Z,1,sample09,N180-10,SRP253595,not collected
SRR11364338,not collected,AMPLICON,602,30865744,PRJNA613763,SAMN14419186,Metagenome or environmental,18282890,HENAN AGRICULTURAL UNIVERSITY,2019,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX7965782,China,Asia,"China:Xuchang\,Henan Province",8,Illumina MiSeq,Wheat rhizosphere soil,missing,sample-8,SINGLE,PCR,GENOMIC,soil metagenome,ILLUMINA,2020-03-31T00:00:00Z,2020-03-22T02:53:00Z,1,sample08,N120-10,SRP253595,not collected
SRR11364339,not collected,AMPLICON,602,32678366,PRJNA613763,SAMN14419185,Metagenome or environmental,19299644,HENAN AGRICULTURAL UNIVERSITY,2019,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7965781,China,Asia,"China:Xuchang\,Henan Province",7,Illumina MiSeq,Wheat rhizosphere soil,missing,sample-7,SINGLE,PCR,GENOMIC,soil metagenome,ILLUMINA,2020-03-31T00:00:00Z,2020-03-22T02:53:00Z,1,sample07,N120-10,SRP253595,not collected
SRR11364340,not collected,AMPLICON,602,25259920,PRJNA613763,SAMN14419238,Metagenome or environmental,14614781,HENAN AGRICULTURAL UNIVERSITY,2014,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX7965780,China,Asia,"China:Xuchang\,Henan Province",60,Illumina MiSeq,Wheat rhizosphere soil,missing,sample-60,SINGLE,PCR,GENOMIC,soil metagenome,ILLUMINA,2020-03-31T00:00:00Z,2020-03-22T02:53:00Z,1,sample60,N360-5,SRP253595,not collected
SRR11364341,not collected,AMPLICON,602,38462382,PRJNA613763,SAMN14419237,Metagenome or environmental,21996159,HENAN AGRICULTURAL UNIVERSITY,2014,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX7965779,China,Asia,"China:Xuchang\,Henan Province",59,Illumina MiSeq,Wheat rhizosphere soil,missing,sample-59,SINGLE,PCR,GENOMIC,soil metagenome,ILLUMINA,2020-03-31T00:00:00Z,2020-03-22T02:53:00Z,1,sample59,N360-5,SRP253595,not collected
SRR11364342,not collected,AMPLICON,602,38758566,PRJNA613763,SAMN14419236,Metagenome or environmental,22403616,HENAN AGRICULTURAL UNIVERSITY,2014,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX7965778,China,Asia,"China:Xuchang\,Henan Province",58,Illumina MiSeq,Wheat rhizosphere soil,missing,sample-58,SINGLE,PCR,GENOMIC,soil metagenome,ILLUMINA,2020-03-31T00:00:00Z,2020-03-22T02:53:00Z,1,sample58,N360-5,SRP253595,not collected
SRR11364343,not collected,AMPLICON,602,31183600,PRJNA613763,SAMN14419235,Metagenome or environmental,17814105,HENAN AGRICULTURAL UNIVERSITY,2014,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX7965777,China,Asia,"China:Xuchang\,Henan Province",57,Illumina MiSeq,Wheat rhizosphere soil,missing,sample-57,SINGLE,PCR,GENOMIC,soil metagenome,ILLUMINA,2020-03-31T00:00:00Z,2020-03-22T02:54:00Z,1,sample57,N360-5,SRP253595,not collected
SRR11364344,not collected,AMPLICON,602,23962008,PRJNA613763,SAMN14419234,Metagenome or environmental,13856030,HENAN AGRICULTURAL UNIVERSITY,2014,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7965776,China,Asia,"China:Xuchang\,Henan Province",56,Illumina MiSeq,Wheat rhizosphere soil,missing,sample-56,SINGLE,PCR,GENOMIC,soil metagenome,ILLUMINA,2020-03-31T00:00:00Z,2020-03-22T02:53:00Z,1,sample56,N240-5,SRP253595,not collected
SRR11364345,not collected,AMPLICON,602,34129186,PRJNA613763,SAMN14419233,Metagenome or environmental,19463280,HENAN AGRICULTURAL UNIVERSITY,2014,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX7965775,China,Asia,"China:Xuchang\,Henan Province",55,Illumina MiSeq,Wheat rhizosphere soil,missing,sample-55,SINGLE,PCR,GENOMIC,soil metagenome,ILLUMINA,2020-03-31T00:00:00Z,2020-03-22T02:53:00Z,1,sample55,N240-5,SRP253595,not collected
